Accident ID,Event Type,Industry Type,Accident Description,Domino Effects,Natech Events,Transboundary Effects,Contractors,Release Major Occurrences,Release Initiating Event,Fire Major Occurences,Fire Initiating Events,Explosion Major Occurences,Explosion Initiating Events,Transport Major Occurences,Transport Initiating Events,Accident Description - Other,Substance Classification,Causes of the accident,Plant/Equipment Causative Factor Type,Human,Organizational Causative Factor Type,External Causes,Causes - Other,Theme of the Lessons Learned,Lesson Learned
751,Major Accident,General chemicals manufacture (not otherwise specified int the list),There was an explosion in the storage of carbon disulphide.  Carbon disulphide had been released from the storage tank into the storage room.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
07 b. HIGHLY FLAMMABLE - note 3(b)(2)",Not yet known.,,,,,Yes,,Not known yet
752,Major Accident,"Production and storage of pesticides, biocides, fungicides","A devastating explosion at a chemical reactor caused the death of an operator and large material losses in fine chemical plant.At the time of the accident the process was stopped due to maintenance
work and the reactor had been left in stand-by position for a day.
Suddenly the temperature and the pressure of the reactor started to
rise inexplicably. A few operators on shift tried to find out the
reason for this, but they hardly had any time to do so when the
pressure had risen above normal level.",FALSE,FALSE,FALSE,FALSE,,not known / not applicable,conflagration (a general engulfment fire),not known / not applicable,runaway reaction explosion (usually exothermic),not known / not applicable,,,,"02. TOXIC
04. EXPLOSIVE - note 2(a)
07 b. HIGHLY FLAMMABLE - note 3(b)(2)
08. EXTREMELY FLAMMABLE - note 3(c)
10 i. ANY CLASSIFICATION - R14
00. NAMED SUBSTANCE","A runaway reaction is suspected as the cause of the explosion. The root cause of the accident is still under investigation.At the time of the accident the plant and the reactor were stopped due
to maintenance work and the reactor had been left in a stand-by
condition for a day. Earlier in the afternoon attempts had been made to
clear a clogged pipeline leading from the reactor, but without success.
It was planned to continue the maintenance work the next day. During
the evening shift the temperature and pressure of the reactor started
to rise inexplicably. A few operators on the shift tried to evaluate
the reason for this phenomenon, but the pressure rose above normal
values very quickly. One operator went to check out the status of the
reactor and immediately after that the reactor exploded and a huge fire
resulted.The investigation following the accident showed that an unexpected chemical reaction in the production process was the cause of the explosion. It was discovered that the increase of temperature in the reactor to over 300 degrees Celsius led to a break down of the process intermediate, sodium methoxy borohydride, and this led to gases being formed to such an extent that their pressure broke the reactor. Flammable gases and liquids were released in the explosion and set the reactor building on fire. The rise of temperature of the chemical liquid in the reactor was caused ; by a deposit in the reactor base as well as heat formed by mechanical friction of the reactor stirred. The rise in temperature in the reactor was not discovered in the control room, because the measurement device was covered by an insulating deposit layer. Process reactions were not well enough known and the system was not designed to cope with an exothermic reaction. Also, the safety and control equipment for the system were inadequate. Information from any similar accident experience concerning this exceptional chemical reaction was not available.",runaway reaction,,"process analysis
design of plant/equipment/system",,Yes,"Causes - Plant/Equipment
Causes - Organisational",Measures to prevent recurrence: When a new process is designed the recurrence of similar chemical reactions has to be taken into account by studying the process with as reliable methods as possible. Also the system must be equipped with appropriate pressure relief devices and a reactor emptying system as well as adequate process control methods.
753,Major Accident,Plastic and rubber manufacture,"A gas explosion followed by a fire occurred at a pilot plant of a factory producing raw materials of plastics. The accident occurred while two operators were removing a reactor outlet valve which was jammed. The reactor contained propane that was discharged and caught fire. The flames caused severe burns to two maintenance operators. One of them died a few days later.On the day of the accident the reactor in question was shut down because of sudden build up of pressure. This was caused by a clogged outlet valve in the reactor. Two operators had prepared for maintenance work by flushing the reactor with nitrogen gas. When this had been completed twice and the reactor was considered to be free of pressure, it was decided to open the clogged valve. The accident occurred during opening. The reactor contained propane which was then discharged and caught fire. The resulting flames caused severe burns to two nearby operators. One of the operators who was severely injured died as a result and the other was injured.",FALSE,FALSE,FALSE,FALSE,,not known / not applicable,jet flame (burning jet of fluid from orifice),not known / not applicable,,not known / not applicable,,,,"08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE","Following investigation of the accident, several causative factors became apparent as the reason for this accident: 1) Because the product tank was full it caused the clogging of the reactor outlet valve. 2) The two manual valves, opened in the flushing of a gasket of the reactor circulation pump, were left open and thus caused a flow of propane into the reactor. In an emergency shut down situation, the automation of the system closes all propane inlet valves and opens a dump valve which leads to a flare.",,operator error,,,Yes,"Causes - Plant/Equipment
Causes - Organisational","Measures to prevent recurrence: In order to prevent the recurrence of similar accidents, the following recommendations were made by the accident investigation group: 1) The programming of an automation system involving propane inlet valves should be altered so that the valves can not open automatically.2) A level detection alarm should be installed on the product tank. 3) All instructions should be rechecked and any changes should thoroughly be familiar to staff. 4) A check list should be created as a fundamental tool for operators to be followed. With the help of a checklist they can ensure that all the relevant operations in different duties are correctly and sequentially be executed. 5) Valves might be grouped and possibly marked with colours. Therefore process state can be clearly seen as valves would be clearly identified."
754,Major Accident,General chemicals manufacture (not otherwise specified int the list),"A leakage of phenol (21 m3) during unloading of a ship.Phenol was unloaded from the ship to the storage tank, which was situated at a harbour area. The unloading was carried out through a concrete pipe tunnel, which was situated below the ground. According to the company involved unloading process was prepared carefully due to the fact that the pipeline had been out of use for about four years. The storage tank and the pipeline were inspected, but that was done visually.The unloading process started and pressure was risen slowly up to 3 bars. After that it was realized that there was no liquid running into the storage tank. Employers inspected a pipeline and found a leakage after which a pumping of phenol was stopped immediately. Later on it was realised that the amount of phenol released was about 21 m3. It was raining and the temperature was 15C.
",FALSE,FALSE,FALSE,FALSE,fluid release to ground,not known / not applicable,,not known / not applicable,,not known / not applicable,,,,02. TOXIC,"A corrosion of a pipelineCorroded part of the pipeline located in the underground pipe tunnel. ; The pipe was corroded from outside. Procedures concerning periodic inspections of pipelines were inadequate. Especially, there were no instructions for measuring the wall thickness of insulated pipelines locating in the underground pipe tunnel.The pressure test to check the tightness of the old pipe, which had not been used for years, was not carried out before using the pipeline ; again.",corrosion/fatigue,,"organized procedures
supervision
maintenance/repair
testing/inspecting/recording",,,"Causes - Plant/Equipment
Causes - Organisational
Emergency Response","Measures to prevent recurrence: In order to prevent the recurrence of similar accidents, the following recommendations were made by the accident investigation group: 
1) A pressure testing should be made before use if the pipeline has been out of use for a long time.
 2) Pipelines should be installed primarily overground.
 3) Undergrowth should be removed from under pipelines and pipelines should be installed in such height that snow doesn't cause any harm. 
4) Pipeline tunnels should be taken into account when organizing pipeline maintenance. 
5) In order to isolate a part of  a long pipeline, it should be equipped with additional valves, which could be closed in emergency situations.  
6) Detailed procedures should be made for carrying out periodic inspections. 
"
755,Major Accident,"Production and storage of pesticides, biocides, fungicides","Interest of the accident in which a hydride is involved. Violent explosion took place during the batch production of chlorobenzorex from an aqueous solution of sodium borohydride contained in a feed tank on a movable truck. ;The sodium borohydride solution (44 kg of powder for 130 kg of solution) was prepared 2 hours before production in a closed 630 litre agitated feed tank. Since dissolving was problematic, the operating mode was recently modified to include prior heating of the solution by hot water surface runoff (45- 55°C). The reactor was placed under nitrogen circulation (N2) at 2h00 and then connected to the feed tank whose heating was stopped. At 2.15 pm, the feed tank's N2 inlet was connected to the supply hose. At 2.20 pm, N2 supply to the feed tank started with the partial opening of the supply valves of the reactor and the valves at the bottom of the feed tank (at a flow rate of 100 l/h - P(N2) = 2.8 bar). At 2.40 pm, the N2 hose supplying the feed tank was abruptly torn out letting the gas escape though the opening created. The superfluous staff was evacuated from the workshop and an emergency team installed a valve on the N2 inlet to stop the leak. The team tired to decompress the feed tank in the reactor by opening the reactor valve to the maximum and then opening the feed tank valve that was difficult to access. At this moment, the feed tank's manhole gave in a few seconds before it exploded.",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"04. EXPLOSIVE - note 2(a)
06. FLAMMABLE - note 3(a)","Post-accident investigations revealed thermal decomposition of sodium borohydride triggered by an excessively high storage temperature (50 °C due to hot water surface runoff). Maintaining the temperature at 50 °C stabilised the decomposition rate in such a way that the small quantities of hydrogen (H2) formed could escape via the leaking feed tank. When the heating was stopped, the system evolved in an independent way: the temperature and pressure increased under the effect of heat resulting from the decomposition causing a thermal explosion. The inspection hole opened under a pressure of 15 to 20 bar followed by the rupture of the feed tank. The depressurisation of H2 in the form of a shock wave was responsible for the damage caused in the workshop.
Lastly, poor knowledge of the properties of hydride and absence of a critical analysis of the process were also responsible for the accident. Modification procedures and taking into account the various productions incidents would have certainly led to the missing critical analysis.","runaway reaction
unexpected reaction/phase-transition",,"organized procedures
process analysis
design of plant/equipment/system",,,Causes - Organisational,"Study on the stability and violent decomposition of sodium borohydride, sodium borohydride won't be used in the establishment for time being until new safety measures have not been put into place."
756,Major Accident,Processing of metals,"Destruction of the installation (plant); 1 fatality (dead), 1 person seriously injured",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,07 a. HIGHLY FLAMMABLE - note 3(b)(1),no information is given,,,,,Yes,,no information is given
758,Major Accident,Petrochemical / Oil Refineries,"Release of ammonia which intoxicated 11 persons (8 employees of which 2 were intoxicated (injured) seriously and 3 fire-fighters). The release occurred due to a valve opened in error.The release occurred in an installation for the dilution of anhydrous ammonia into a 10% ammonia solution employed in order to limit (reduce) the corrosion during the distillation of petrol (crude oil). This release occurred on one (or two ) 1/4 turn valves isolating the dissolving column from a tank of 7 cubic metres (m3) of capacity (containing 3,8 tonnes of liquefied ammonia under 8 bars of pressure at the time of the accident).",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
07 a. HIGHLY FLAMMABLE - note 3(b)(1)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50","Probably the bad ergonomics of the place: during the unscrewing (loosening) of the bolts fixing the flanges, in a very cramped (small) space, one of the operators (workers) may have untimely (wrongly) opened one of the 1/4 turn valves isolating the unit (equipment) under maintenance from the units located  upstream and containing the ammonia.",,,"user-unfriendliness (apparatus, system, etc.)",,,Causes - Organisational,"Use of less hazardous techniques (processes, systems), in this case the use of an ammonia solution (ready for use) instead of liquefied (anhydrous) ammonia
"
760,Major Accident,Petrochemical / Oil Refineries,"Ignition due to a leakage at the top of an absorption column, flame of several metres. Large potential risks.",FALSE,TRUE,FALSE,FALSE,,,,,,,,,,"08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE",Causes of the leakage unknown. Ignition possibly through an electrical discharge (the accident occurred during a lightning storm).,,,,"natural event (weather, temperature, earthquake, etc.)",,,Investigation under way.
761,Major Accident,General chemicals manufacture (not otherwise specified int the list),Fire of the gaseous roof of a tank containing molten sulphur.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,The causes are unknownThe actual ignition source is unknown,,,,,Yes,,no information given.
762,Major Accident,General chemicals manufacture (not otherwise specified int the list),Explosion followed by a fire in a synthesis pilot installation (workshop). One worker is killed and 3 workers are injured.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,The cause of the accident is unknown,,,,,Yes,"Causes - External
Other","An administrative and a judicial investigation are under way. As a measure to prevent recurrence, the other pilot units on the same site have been inspected before being restarted."
763,Near Miss,Processing of metals,Release of gas from a coking plant on a 20 000 cubic meters gas holder,FALSE,FALSE,FALSE,FALSE,,gas/vapour/mist/etc release to air,jet flame (burning jet of fluid from orifice),,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
07 a. HIGHLY FLAMMABLE - note 3(b)(1)
08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE",Accident occurred during repair works.,other,,maintenance/repair,,,"Causes - Plant/Equipment
Causes - Organisational",The holes on the wall must be sealed with special tools and following special methods in order to avoid sparks if the tank can't be inerted.
764,Major Accident,Processing of metals,"In a LPG tanks renovation factory a tank with a capacity of 2,28 cubic metres (2,28 m3) supposedly empty on which an employee was performing some welding work exploded",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE",The tank under renovation probably had not been completely degasified,,,,,,Causes - Organisational,Any operation on tanks having previously contained any kind of flammable liquid or gas shall be performed only after a complete degasification the results of which have to be verified (tested).
765,Other Event,General chemicals manufacture (not otherwise specified int the list),Release of sulphured gases,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,02. TOXIC,Wrong connectionThe accident occurred because of the loading of a wrong chemical - the sulphuric acid - that reacted with the Na -bisulphite remained inside the tank.,,operator error,,,,Causes - Organisational,"Verification of operations, of chemicals and devices involved. In this case, verification of the right chemical inside the tank to be refilled.The enforcement of safety measures should be checked."
766,Other Event,Production and manufacturing of pulp and paper,"Release of 21 cubic meters of Javel water because of a failure of pipe.On a pipe supplying a shop from an outside tank, a sleeve tube made of PCV located between a centrifugal pump (10 cubic meters per hour) and a flow control valve (2.5 cubic meters per hour) burst.",FALSE,FALSE,FALSE,FALSE,fluid release to water,,,,,,,,,09 i. DANGEROUS FOR THE ENVIRONMENT - R50,Burst of a sleeve pipe made of PCV.The cause of the rupture is not known yet.,vessel/container/containment-equipment failure,,,,,"Causes - Plant/Equipment
Causes - Organisational",Reduce the risks of release (reinforcement  of the pipe and lowering of stress) and pond to catch released chemicals.
768,Other Event,Manufacture of food products and beverages,Release of ammonia,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50","Failure of a gasket on an electrovalve on the back pipe of ammonia.Failure of a gasket made of a substitute of asbestos

",component/machinery failure/malfunction,,,,,"Causes - Plant/Equipment
Causes - Organisational",Measures to prevent recurrence: Growing of awareness on risks of ammonia . Use of reliable materials.
769,Other Event,Manufacture of food products and beverages,Release of ammonia during the dismantle of a cooling equipment.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",Wrong removal of a pipe supposed to be a water one and in fact was a ammonia one.,,,"management organization inadequate
organized procedures
training/instruction
supervision
staffing",,,"Causes - Plant/Equipment
Causes - Organisational",Risk area must be pointed out. Right equipment must be available.
770,Major Accident,General chemicals manufacture (not otherwise specified int the list),"Fire in a warehouse of wastes and goods leading to an emission of dangerous chemicalsBecause of a fire (fast self-combustion) and a decomposition of an oxidant mixing with organic chemicals, there was an emission of chlorinated gas.",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
00. NAMED SUBSTANCE",Self-combustion of an oxidant polluted with organic chemicals.,unexpected reaction/phase-transition,,,,Yes,"Causes - Organisational
Emergency Response", This type of accident was foreseen in the previous safety report. But some required safety measures were not abided by.Measures to prevent recurrence: Don't forget the risks of mixture of organic compounds and oxidants.Measures to mitigate consequences: Take account of the opacity of the smoke emitted by such a fire.
772,Other Event,"Production and storage of pesticides, biocides, fungicides","Explosion of a reactor in a chemical plant. Wrong introduction of parachlorobenzaldehyd instead of orthochloronitrobenzene in the reactor. The confusion was done because there was the same type of drums, the chemical characteristics are similar and the re-labelling made at the reception of the raw material in the establishment ; was wrong. This local labelling was not in accordance with the supplier one.",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
09 ii. DANGEROUS FOR THE ENVIRONMENT - R51,R53
10 i. ANY CLASSIFICATION - R14",Wrong loading of one drum of raw compound (wrong labelling),,operator error,"management organization inadequate
organized procedures
supervision
staffing",,,,Attention for the safety in the fine chemistry.
773,Other Event,Production and manufacturing of pulp and paper,A tank for washing water wrongly filled with ethoxyl alkylphenol.,FALSE,FALSE,FALSE,TRUE,fluid release to water,fluid release to water,,,,,,,,,"Mistake of the trucker who took the wrong trailer (human error). The sub-contractor firm, called to eliminate the substance wrongly supplied, poured the washing water into the rain drain.Transport company and paper manufacturer's procedures are insufficient.",,,"management organization inadequate
organized procedures
supervision
staffing
process analysis",,,Other,Take more care during operation.
774,Other Event,Manufacture of food products and beverages,"Explosion of a road tanker for the transportation of special waste, which had been filled with nitric acid.",FALSE,FALSE,FALSE,FALSE,,,,,pressure burst (rupture of pressure system),,,,,03. OXIDIZING,"There may have a piece of iron in the tank which reacted with the acid, producing hydrogen.",,,,,,Causes - Organisational,Ensure that tanks contain no other products (even in trace quantities) capable of reacting with the contents.
775,Other Event,General chemicals manufacture (not otherwise specified int the list),Release of gaseous hydrochloric acid and sulphur dioxide.,FALSE,FALSE,FALSE,FALSE,fluid release to ground,,,,,,,,,"02. TOXIC
10 i. ANY CLASSIFICATION - R14
10 ii. ANY CLASSIFICATION - R29
00. NAMED SUBSTANCE",Nothing to report.,vessel/container/containment-equipment failure,,,,,"Causes - Plant/Equipment
Causes - Organisational",Ensure that flexible piping is of suitable quality and is correctly used.
776,Other Event,General chemicals manufacture (not otherwise specified int the list),Explosion of a sodium-based gas scrubber.,FALSE,FALSE,FALSE,FALSE,,,,,VCE (vapour cloud explosion; supersonic wave front),,,,,"02. TOXIC
03. OXIDIZING
06. FLAMMABLE - note 3(a)","Ignition of the gases, probably due to static electricity.",electrostatic accumulation,,,,,"Causes - Plant/Equipment
Causes - Organisational","Improve the inerting of the installation, and use conducting materials to avoid a build-up of static electricity."
778,Other Event,General chemicals manufacture (not otherwise specified int the list),Explosion in a chemical mixed.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,02. TOXIC,"The cause is not known with certainty.Hypotheses: high outside temperature; accumulation of product dust in the mixed; mechanical friction, role of an additive (perfume)...",unexpected reaction/phase-transition,,process analysis,,Yes,Other,Know better the chemical behaviour of the mixture.
779,Other Event,General chemicals manufacture (not otherwise specified int the list),Release of some 400 kg of gaseous hydrochloric acid.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
00. NAMED SUBSTANCE",Failure of a condenser safety joint: water had got into the reaction vessel and had reaction with benzol chloride therein.,vessel/container/containment-equipment failure,,,,,"Causes - Organisational
Other",The operator was required to produce a report with the aid of an expert third party.Measures to prevent recurrence: Avoid - except by design - using in the same installation products capable of reacting together.
780,Major Accident,General chemicals manufacture (not otherwise specified int the list),Fire in a heat exchanger.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
07 b. HIGHLY FLAMMABLE - note 3(b)(2)","Loss of operational process controlThe mixture of benzene vapour with air caught fire in the heat exchanger. The piping became very hot, and the insulating material caught fire. It may be that the fire was ignited by particles of vanadium oxide catalyst.",loss of process control,not identified,not identified,,,Other,Transient stages - in this case start-up - of a process have higher risk than normal ones.
782,Other Event,Manufacture of food products and beverages,Release of ammonia.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",Wrong performance of a venting operation. Poor procedure.,,,organized procedures,,,Causes - Organisational,Measures to prevent recurrence: Venting of installation with dangerous gases has to be done by following safety procedures.
783,Other Event,Manufacture of food products and beverages,ammonia releaseA very small quantity of ammonia was released due to a break of a bearing of a compressor.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",Break of a motor bearing of compressor.,component/machinery failure/malfunction,,,,,Other,Supervision of process equipment (by phone line).
784,Other Event,General chemicals manufacture (not otherwise specified int the list),Release of ammonia in the air,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",Safety discThe break of the disc is not abnormal but the release should have been detected in order to shut off the plant and stop the release.,vessel/container/containment-equipment failure,,supervision,,,,not yet formulated.
785,Other Event,General chemicals manufacture (not otherwise specified int the list),Leak of ethylene from a valve.15 m high flames,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,08. EXTREMELY FLAMMABLE - note 3(c),Gland made of PTFE instead of graphite (wrong design).Main failure seems to be wrong design: Use of PTEF instead of graphite.,"vessel/container/containment-equipment failure
component/machinery failure/malfunction",,"design of plant/equipment/system
manufacture/construction",,,Causes - Plant/Equipment,Use of appropriate materials.Useful references: RAS / NTR
787,Other Event,Manufacture of food products and beverages,Emission of nitric fumesIt was a near miss event.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"01. VERY TOXIC
03. OXIDIZING",Failure of tank supportUse of inadequate materials (susceptible to corrosion).,vessel/container/containment-equipment failure,,design of plant/equipment/system,,,"Causes - Plant/Equipment
Causes - Organisational","Wrong material taken (corrosion), design inadequacyMeasures to prevent recurrence: The adequacy of tools and equipment has to be checked. In this case, the acid has a density higher than the milk so this 30 cubic meters tank had to be refilled with only 5 cubic meters of acid.Measures to mitigate consequences: The basin to recover spills have to be impermeable. In this case, the concrete of the basin was made in 2 parts and liquid percolated through the wall."
788,Other Event,Plastic and rubber manufacture,Release in the drinking water piping.,FALSE,FALSE,FALSE,FALSE,fluid release to water,,,,,,,,,,Failure of an electrovalve.,instrument/control/monitoring-device failure,,,,,"Causes - Organisational
Other",Disconnection between water piping system and installation with chemicals.
790,Other Event,Manufacture of food products and beverages,Fire in a factory with ammonia cooling system.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,conflagration (a general engulfment fire),,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",Work with a torch to cut steel sheet which ignited polystyrene foam.The blaze came from works with a torch near some quantity of polystyrene.,,,organized procedures,domino-effect from other accident,,Causes - Organisational,Maintenance works have to be done according to safety procedures.
791,Other Event,Manufacture of food products and beverages,Ammonia release in the air,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",Operator's mistake during demolition of installation.A pipe was cut in a wrong way (during demolition works).,,operator error,,,,Causes - Organisational,Measures to prevent recurrence: Works for demolition of dangerous installation have to be done by following safety procedures.
792,Other Event,General chemicals manufacture (not otherwise specified int the list),Release in the air of mist of bromine.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"01. VERY TOXIC
09 i. DANGEROUS FOR THE ENVIRONMENT - R50
00. NAMED SUBSTANCE",Flange clearance between pipes. The flange was not drawn up and the impermeability test was incorrectly passed.,,,"organized procedures
training/instruction
supervision",,,"Causes - Plant/Equipment
Causes - Organisational",Check up of flanges.
793,Other Event,Manufacture of food products and beverages,Engulfment of the factory in fire,FALSE,FALSE,FALSE,FALSE,,,conflagration (a general engulfment fire),,,,,,,06. FLAMMABLE - note 3(a),Maybe due to inadequate maintenance works.,,,maintenance/repair,,,Other,We must consider the risk of the use of sandwich construction.Measures to prevent recurrence: Sandwich slabs increase the speed of the spreading of fire and emit noxious smokes.
794,Other Event,Processing of metals,Release in a river.,FALSE,FALSE,FALSE,FALSE,fluid release to water,,,,,,,,,"01. VERY TOXIC
02. TOXIC
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",Failure of control apparatus and mistake of the operator.,instrument/control/monitoring-device failure,operator error,,,,"Causes - Plant/Equipment
Causes - Organisational",Improvement of the reliability of the waste water treatment plant.Measures to prevent recurrence: The functioning of the monitoring devices should periodically be checked.
795,Other Event,Processing of metals,Release in a river.The dichloromethane run into the river through the rain drain.,FALSE,FALSE,FALSE,FALSE,fluid release to water,fluid release to ground,,,,,,,,,Inappropriate rubber hose. The rubber hose used to unload the chemicals was not adapted.,component/machinery failure/malfunction,,manufacture/construction,,,"Causes - Plant/Equipment
Causes - Organisational",Use of adequate tools and working on area with catching pot.
796,Other Event,General chemicals manufacture (not otherwise specified int the list),Release to the ground,FALSE,FALSE,FALSE,TRUE,fluid release to ground,,,,,,,,,"02. TOXIC
09 i. DANGEROUS FOR THE ENVIRONMENT - R50
10 i. ANY CLASSIFICATION - R14
10 ii. ANY CLASSIFICATION - R29",Probably metal fatigue. The extension was set up for 3 years.,corrosion/fatigue,,,,,Causes - Plant/Equipment,Measures to prevent recurrence: The extension compensating members are fragile devices and they need appropriate verification.
797,Other Event,Manufacture of food products and beverages,"Release in a river.After taking some quantity of Javel water, an operator forget to shut the valve, so the chemical run down a smaller tank below, the catching pot of which overflowed. The chemical run off to the river through the rain drain.",FALSE,FALSE,FALSE,FALSE,fluid release to water,,,,,,,,,,An operator shut wrongly a valve after taking some quantity of a chemical. This one poured in the vessel below that was smaller. The catching pot became overflown.,,operator error,,,,"Causes - Plant/Equipment
Causes - Organisational",Shutting of the rain drain between the chemical storage and the river.
798,Other Event,Processing of metals,Leak on a acetylene cylinder and ignition of the gas.,FALSE,FALSE,FALSE,FALSE,,gas/vapour/mist/etc release to air,jet flame (burning jet of fluid from orifice),,,,,,,"08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE",Maybe a leak on a valve of a cylinder.The real cause of the accident is not known yet.,other,,,other,,,Not determined yet.
799,Other Event,General chemicals manufacture (not otherwise specified int the list),Smoldering fire starting in a workshop of fertilizers.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,Some quantity of fertilizer jammed the device to tighten the buckets chains. So the buckets rubbed on the guide device and some piece of fertilizer heated and caught fire.,component/machinery failure/malfunction,,organized procedures,,,Causes - Plant/Equipment,Check the functioning of tightness device and install a sensor to detect the lack of mobility. Set up a pipe above the installation in order to bring water at the very beginning of a fire.
800,Other Event,Processing of metals,Release of gas in the air.,FALSE,FALSE,FALSE,TRUE,gas/vapour/mist/etc release to air,,,,,,,,,,The finishing treatment firm (subcontractor) was not informed of the modification of the composition of the alloy.,,other,other,,,Causes - Organisational,The manufacturer must give all informations about modification of the product to his subcontractor or to his customer.
801,Other Event,Plastic and rubber manufacture,Release to the air.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,07 b. HIGHLY FLAMMABLE - note 3(b)(2),unknown,,,,,Yes,,not yet drawn.
802,Major Accident,General chemicals manufacture (not otherwise specified int the list),Release of Vinyl Chloride Monomer (VCM) in the PVC production unit of the site.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE","The reaction vessel is equipped with a pivoting cover, which includes a bursting disc and a safety valve. The whole system is sealed by fastening two mountings, and then a ""safety plate"" prevents the mountings from being released. On this occasion, one of the mountings was not fastened (human error). Moreover, the design of the safety plate permitted it to be installed on unfastened mountings.",,operator error,design of plant/equipment/system,,,"Causes - Plant/Equipment
Causes - Organisational",The emergency plan has been modified. The safety plate has been modified and can no longer be fixed on unfastened mountings.
